Diet,Goal_Reference,Total_emissions_pct_of_goal,Goal_total_tonnes_per_year,Diet_total_tonnes_per_year
Monitor 2024,Schijf van 5,102.54192662230946,2968545.403298421,3044003.649200207
Monitor 2024,Dutch Goal 60:40,111.47091103429443,2730760.537395903,3044003.649200207
Monitor 2024,Amsterdam Goal 70:30,129.651255475939,2347839.7012245827,3044003.649200207
Monitor 2024,EAT-Lancet,128.73997246484825,2364458.831953965,3044003.649200207
Mediterranean Diet,Schijf van 5,95.75551427121243,2968545.403298421,2842545.91730284
Mediterranean Diet,Dutch Goal 60:40,104.09356215516199,2730760.537395903,2842545.91730284
Mediterranean Diet,Amsterdam Goal 70:30,121.07069813242484,2347839.7012245827,2842545.91730284
Mediterranean Diet,EAT-Lancet,120.21972549861604,2364458.831953965,2842545.91730284
Amsterdam Theoretical,Schijf van 5,111.17425251243202,2968545.403298421,3300258.16260918
Amsterdam Theoretical,Dutch Goal 60:40,120.8549090048137,2730760.537395903,3300258.16260918
Amsterdam Theoretical,Amsterdam Goal 70:30,140.565736276111,2347839.7012245827,3300258.16260918
Amsterdam Theoretical,EAT-Lancet,139.57773838176237,2364458.831953965,3300258.16260918
Metabolic Balance,Schijf van 5,111.66434050389347,2968545.403298421,3314806.647151826
Metabolic Balance,Dutch Goal 60:40,121.38767210664612,2730760.537395903,3314806.647151826
Metabolic Balance,Amsterdam Goal 70:30,141.18539035790621,2347839.7012245827,3314806.647151826
Metabolic Balance,EAT-Lancet,140.19303708546715,2364458.831953965,3314806.647151826
