Diet,Scope 1+2,Scope 3,Total
Monitor 2024,5967984.38311298,2907877.359024606,8875861.742137587
Amsterdam Theoretical,495038.7243913772,2805219.438217803,3300258.16260918
Metropolitan,692158.897711501,3922233.753698504,4614392.651410005
Metabolic Balance,497220.9970727741,2817585.6500790515,3314806.6471518255
Dutch Goal,409614.0806093854,2321146.4567865175,2730760.537395903
Amsterdam Goal,352175.9551836874,1995663.7460408946,2347839.7012245823
EAT-Lancet,354668.8247930948,2009790.0071608701,2364458.831953965
Schijf van Vijf (50-50),467019.73989100236,2646445.1927156793,3113464.9326066817
Mediterranean Diet,426381.88759542606,2416164.0297074136,2842545.9173028395
