Model_Category,CO2_Total,Land_m2,Water_L,N_Products,Sample_Products
Alcohol,3.74,1.27,35.0,30,"Beer, pilsner | Ambient (long), Beer, pilsner | Ambient (long), Beer, pilsner | Ambient (long)"
Animal_Fats,1.23,2.74,20.0,1,Gravy 25% fat clear prep w gra
Beef,24.43,13.49,149.0,12,"Minced beef/pork  | Cooled | M, Minced beef  | Cooled | Meat p, Minced beef shallow fried | Co"
Bread,1.49,1.89,9.0,17,"Crispbakes Dutch wholemeal | A, Bun, currant/raisin | Ambient , Bread rye dark | Ambient (shor"
Butter,4.62,4.47,48.0,10,"Apple turnover wo butter | Amb, Cake, w butter | Ambient (shor, Cake, w butter | Ambient (shor"
Cheese,7.64,3.91,72.0,11,"Cheese pastry w puff pastry Ka, Crisps tortilla cheese | Ambie, Cheese filled snack Kaassouffl"
Chicken,4.35,5.99,56.0,8,"Eggs chicken | Ambient (short), Chicken nuggets | Frozen | Car, Chicken nuggets | Frozen | Car"
Coffee,1.5,0.59,13.0,3,"Coffee creamer half fat | Cool, Coffee creamer full fat | Cool, Coffee | Ambient (long) | Coff"
Condiment_Sauces,1.77,5.36,17.0,4,"Mustard seed | Ambient (averag, Ketchup curry | Ambient (long), Mayonnaise | Ambient (long) | "
Dairy,1.54,0.55,14.0,7,"Yoghurt, half fat | Cooled | M, Yoghurt, low fat | Cooled | Mu, Yoghurt, full fat | Cooled | M"
Eggs,1.85,0.82,24.0,1,"Pasta, with egg | Ambient (lon"
Fish,5.0,1.38,35.0,13,"Fish salad  | Cooled | Meat pa, Herring pickled (sweet)sour | , Herring pickled (sweet)sour | "
Fruits,0.94,0.64,41.0,52,"Beer w fruitjuice Radler | Amb, Beer w fruitjuice Radler | Amb, Beer w fruitjuice Radler | Amb"
Frying_Oil_Animal,6.7,4.68,46.0,1,Croquette meat ragout | Frozen
Grains,0.98,2.22,8.0,8,"Bread, multigrain w seeds  | A, Barley grain | Ambient (averag, Muesli crunchy plain/w fruit |"
Milk,1.68,1.31,15.0,24,"Potatoes mashed prep w semi-sk, Baby/toddler milkpowder | Ambi, Coconut milk | Ambient (long) "
Nuts,2.81,6.99,720.0,17,"Almond paste filled tarts  | A, Peanut sauce | Ambient (long) , Linseeds | Ambient (long) | Pl"
Pasta,1.97,0.76,25.0,1,"Pasta, white | Ambient (long) "
Pork,11.77,11.93,67.0,14,"Spring roll w ham/chicken | Fr, Hamburger | Cooled | Meat pack, Bacon rasher speklap | Cooled "
Potatoes,1.17,0.76,32.0,6,"Sweet potatoes | Ambient (aver, Sweet potatoes | Ambient (aver, Potatoes wo skins | Ambient (a"
Processed,12.35,8.27,77.0,11,"Sausage, dutch Frikandel | Fro, Sausage, frankfurter | Ambient, Sausage, frankfurter | Ambient"
Pulses,1.6,1.36,36.0,19,"Beans french | Ambient (long) , Beans french | Ambient (long) , Beans, green | Ambient (averag"
Ready_Meals,1.76,0.79,9.0,3,"Tortilla wrap | Ambient (avera, Oriental sauce, ready-made | A, Stock from cube prepared | Amb"
Rice,2.16,1.39,213.0,3,"Rice, white | Ambient (long) |, Rice, brown | Ambient (long) |, Liquorice Dutch type average |"
Snacks,3.61,3.19,20.0,15,"Chips, frozen pre-fried | Froz, Biscuit, sweet | Ambient (aver, Biscuits averaged | Ambient (a"
Spice_Mixes,1.53,1.02,30.0,1,Stock cubes | Ambient (long) |
Sugar,0.96,1.01,5.0,11,"Melon honeydew | Ambient (shor, Flour wheat, white  | Ambient , Rye flour | Ambient (average) "
Tea,0.42,0.28,24.0,4,"Ice tea | Ambient (long) | PET, Tea | Ambient (long) | Cardboa, Tea herbal instant sw prepared"
Vegetables,0.88,0.33,26.0,23,"Peas and carrots | Ambient (lo, Peas and carrots | Ambient (lo, Cucumber w skin  | Ambient (sh"
